Title,Ingredients
apple-raisin-french-toast-casserole,"1 cup brown sugar
 1 teaspoon ground cinnamon
 1/2 cup butter, melted
 3 apples - peeled, cored and sliced
 1/2 cup raisins
 1 (1 pound) loaf french baguette, cut into 1 inch slices
 6 eggs, lightly beaten
 1 1/2 cups milk
 1 tablespoon vanilla extract
 2 teaspoons ground cinnamon"
french-toast-and-spam-sandwiches,"1 (12 ounce) container fully cooked luncheon meat (e.g. spam)
 5 eggs
 1/2 cup milk
 8 slices white bread"
german-french-toast,"1 teaspoon butter
 2 eggs
 1/2 cup milk
 8 slices white bread
 8 slices muenster cheese"
holiday-morning-french-toast,"1 cup brown sugar
 1/2 cup butter, melted
 3 teaspoons mccormick\xae ground cinnamon, divided
 3 tart apples, such as granny smith, peeled, cored and thinly sliced
 1/2 cup dried cranberries or raisins
 1 loaf italian or french bread, cut into 1-inch slices
 6 large eggs
 1 1/2 cups milk
 1 tablespoon mccormick\xae pure vanilla extract"
make-ahead-cinnamon-french-toast,"1 loaf day-old french bread
 1 cup hershey\xae's milk chocolate chips or hershey\xae's cinnamon chips
 5 eggs, beaten
 1 1/4 cups milk
 1/4 teaspoon ground cinnamon
 1/4 teaspoon vanilla extract, maple syrup (optional)"
banana-bread-french-toast,"3 eggs
 3 tablespoons sweetened condensed milk
 1 teaspoon vanilla extract
 2 tablespoons butter
 1 loaf banana bread, confectioners' sugar for dusting (optional)"
smuckers-stuffed-french-toast,"1 serving crisco\xae original no-stick cooking spray, filling:
 1 (8 ounce) package cream cheese, softened
 2 tablespoons sugar
 1/2 teaspoon ground cinnamon
 1/2 cup chopped walnuts or pecans
 1 teaspoon vanilla extract, toast:
 1 (1 pound) loaf french bread
 4 large eggs, beaten
 1 cup half-and-half
 1/2 teaspoon vanilla extract
 1/2 teaspoon nutmeg, glaze:
 1 cup smucker's\xae apricot preserves
 1/2 cup orange juice
 1/2 teaspoon almond extract"
grandmas-peach-french-toast,"1 cup packed brown sugar
 1/2 cup butter
 2 tablespoons water
 1 (29 ounce) can sliced peaches, drained
 12 (3/4 inch thick) slices day-old french bread
 5 eggs
 1 tablespoon vanilla extract
 1 pinch ground cinnamon, or to taste"
fabulous-frosted-french-toast,"6 eggs
 1 1/2 cups skim milk
 2 tablespoons white sugar
 2 teaspoons ground cinnamon
 1 (1 pound) loaf french bread, cut into 3/4 inch slices
 1/4 cup butter
 1 (8 ounce) package fat-free cream cheese, softened
 2 tablespoons white sugar
 2 tablespoons fat-free sour cream
 2 tablespoons frozen whipped topping, thawed"
raspberry-cheesecake-stuffed-french-toast,"1 cup milk
 2 tablespoons vanilla extract
 1 cup white sugar
 2 tablespoons cinnamon
 4 eggs, beaten
 1 cup raspberry puree
 4 ounces cream cheese, softened
 1 loaf french bread, cut into 1 inch slices, butter, confectioners' sugar for dusting, nutmeg, for topping"
french-toast-strata,"1/3 cup splenda\xae no calorie sweetener, granulated
 1 cup egg substitute
 2/3 cup skim milk
 3/4 teaspoon imitation maple flavor
 8 slices cinnamon-raisin bread
 2 cups peeled apples, thinly sliced
 1/4 cup low fat cream cheese
 1 tablespoon splenda\xae no calorie sweetener, granulated
 1/2 teaspoon cinnamon"
orange-pecan-french-toast,"1 cup packed brown sugar
 1/3 cup butter, melted
 2 tablespoons light corn syrup
 1/3 cup chopped pecans
 12 (3/4 inch thick) slices french bread
 1 teaspoon grated orange zest
 1 cup fresh orange juice
 1/2 cup 2% milk
 3 tablespoons white sugar
 1 teaspoon ground cinnamon
 1 teaspoon vanilla extract
 3 egg whites
 2 eggs
 1 tablespoon confectioners' sugar for dusting"
fantastic-french-toast,"4 eggs
 1/4 cup milk
 1 teaspoon vanilla, dash salt
 1 tablespoon butter or margarine
 4 slices bread
 1/4 cup chopped peanuts
 3/4 cup maple-flavored syrup
 1/2 cup jif\xae creamy peanut butter"
french-toast-strata-with-apples-and-raisins-1,"1 loaf earth grains\xae buttermilk bread, cubed
 1 (8 ounce) package neufchatel cheese, cubed
 1 cup diced peeled apples
 1/2 cup raisins
 4 eggs
 3/4 cup egg substitute
 1 cup half-and-half cream
 1 1/2 cups fat-free half-and-half
 6 tablespoons butter, melted
 1/4 cup maple syrup"
whole-wheat-french-toast-with-peaches,"1 cup packed brown sugar
 1/2 cup butter
 2 tablespoons water
 1 (16 ounce) package frozen sliced peaches, thawed
 12 slices sara lee\xae soft &amp; smooth\u2122 whole grain white bread
 3/4 cup liquid egg substitute
 1 tablespoon vanilla extract, ground cinnamon to taste"
french-toast-with-almonds,"1 cup slivered almonds
 1/2 cup liquid egg substitute
 1 cup fat-free milk
 3 tablespoons all-purpose flour
 1/4 teaspoon salt
 1/2 teaspoon baking powder
 1 teaspoon vanilla extract
 1/2 teaspoon almond extract
 12 slices sara lee\xae soft &amp; smooth\u2122 whole grain white bread
 3 tablespoons canola oil
 3 tablespoons butter, confectioners' sugar for dusting (optional)"
banana-french-toast-breakfast-sandwiches,"1/2 cup liquid egg substitute
 1 teaspoon water
 1 tablespoon nonfat milk
 1 teaspoon vanilla extract
 1 teaspoon grated orange zest
 2 bananas, peeled and sliced
 12 slices sara lee\xae soft &amp; smooth\u2122 whole grain white bread
 1/4 cup butter, confectioners' sugar for dusting"
french-toast-sandwiches,"1/2 (8 ounce) package neufchatel cheese, softened
 1/2 cup brown sugar
 1/4 teaspoon ground allspice
 1/2 teaspoon ground nutmeg
 1/2 teaspoon ground cinnamon
 8 slices sara lee\xae soft &amp; smooth\u2122 whole grain white bread
 2 tablespoons butter
 3/4 cup liquid egg substitute
 1/4 cup fat free half-and-half"
french-toast-strata-with-apples-and-raisins,"1 loaf sara lee\xae soft &amp; smooth\u2122 whole grain white bread
 1 (8 ounce) package neufchatel cheese, cubed
 1 cup diced peeled apples
 1/2 cup raisins
 4 eggs
 3/4 cup egg substitute
 1 cup half-and-half cream
 1 1/2 cups fat-free half-and-half
 6 tablespoons butter, melted
 1/4 cup maple syrup"
uncle-jesses-french-toast,"4 eggs
 1 teaspoon ground cinnamon
 1 teaspoon ground nutmeg
 1 teaspoon ground ginger
 1 teaspoon ground cloves
 15 slices whole wheat bread
 1 cup butter, divided
 1 cup confectioners' sugar for dusting"
easy-oven-baked-french-toast-with-raisin-syrup,"french toast
 2 eggs
 1/2 cup milk
 1/2 teaspoon vanilla
 8 slices raisin cinnamon bread, sauce
 1/2 cup maple flavor syrup
 1/4 cup honey
 1/2 cup california raisins"
cheesy-french-toast,"4 eggs, beaten
 1/4 cup milk
 1 cup shredded swiss cheese
 1 tablespoon chopped fresh chives
 4 teaspoons butter
 1 french baguette, cut into 1/2 inch slices
 8 ounces sliced ham
 1 cup tomato chutney"
red-kisses-french-toast,"3 large eggs
 2 tablespoons milk
 4 slices market pantry\u2122 roundtop white sandwich bread
 10 hershey's dark chocolate kisses, unwrapped, strawberry jam, archer farms\u2122 cinnamon"
blueberry-maple-french-toast-casserole,"1 (16 ounce) package frozen safeway select organic wild blueberries
 1/4 cup safeway select 100% pure maple syrup, plus extra for serving
 1/3 cup sugar
 1 tablespoon cornstarch
 4 safeway select organic large eggs
 2/3 cup safeway select organic whole milk
 1 teaspoon vanilla
 1 (1 pound) loaf safeway select artisan como or italian bread"
french-toast,"3 large eggs
 1 pinch fine salt
 1/4 teaspoon vanilla extract
 3 tablespoons unsalted butter
 6 slices fresh challah, confectioners' sugar, maple syrup or jam for serving"
french-toasted-mozzarella-and-prosciutto-sandwiches,"12 slices homemade-style white bread
 8 ounces lightly salted mozzarella cheese
 24 rinsed and dried large fresh basil leaves
 4 ounces thinly sliced prosciutto di parma
 2 large eggs, lightly beaten
 2 tablespoons milk
 1/2 cup packaged dried bread crumbs
 1/4 cup pine nuts, finely chopped, kosher salt and freshly milled black
 3 tablespoons extra virgin olive oil"
eggnog-french-toast,"2 eggs, beaten slightly
 1 1/2 cups eggnog
 1 1/2 tablespoons ground cinnamon
 1 teaspoon pumpkin pie spice
 12 slices french bread"
oo-la-la-french-toast-strata,"1/3 cup splenda\xae no calorie sweetener, granulated
 1 cup egg substitute
 2/3 cup nonfat milk
 1 teaspoon vanilla extract
 3/4 teaspoon maple extract
 8 slices cinnamon raisin bread
 2 cups apples - peeled, cored and thinly sliced
 1/4 cup low fat cream cheese
 1 tablespoon splenda\xae no calorie sweetener, granulated
 1/2 teaspoon ground cinnamon"
yummy-french-toast,"3 large eggs
 2/3 cup milk
 2 tablespoons granulated sugar
 1 teaspoon cinnamon
 1/2 teaspoon nutmeg
 1 teaspoon vanilla
 8 slices bread
 2 tablespoons canola oil"
lorena-garcias-crispy-french-toast,"1 cup 1% low-fat milk
 3/4 cup half-and-half
 1/2 cup splenda\xae no calorie sweetener, granulated
 2 tablespoons vanilla extract
 4 large eggs
 6 thick slices white bread, crusts removed and cut diagonally in half
 4 cups cornflakes cereal, finely crushed
 2 tablespoons ground cinnamon
 1 cup strawberries, sliced
 1 cup fat-free vanilla yogurt, optional garnish: fresh mint sprigs"
peanut-butter-crunch-french-toast,"1/2 cup creamy peanut butter
 16 (1/2 inch) slices brioche
 4 large eggs, beaten
 1/4 cup heavy cream
 2 teaspoons pure vanilla extract
 4 cups cornflakes, finely crushed
 4 tablespoons unsalted butter, confectioners' sugar, for dusting
 4 cups mixed berries, maple syrup, for serving"
toffee-apple-french-toast,"8 cups cubed french bread (1 inch cubes)
 2 medium tart apples, peeled and chopped
 1 (8 ounce) package cream cheese, softened
 3/4 cup packed brown sugar
 1/4 cup sugar
 1 3/4 cups milk, divided
 2 teaspoons vanilla extract, divided
 1/2 cup english toffee bits or almond brickle chips
 5 eggs"
waffled-french-toast,"1 egg
 1 egg white
 1/4 cup fat-free milk
 4 slices whole wheat or white bread
 1 cup sliced fresh strawberries
 1/4 cup reduced-calorie pancake syrup"
