Title,Ingredients
french-toast-fruit-kabobs-with-dip,"french toast:
 2 eggs
 1 tablespoon milk
 1/4 teaspoon cinnamon
 1 teaspoon maple syrup
 4 slices bread, butter for frying, fresh fruit such as strawberries, kiwi, pineapple, bananas, dip:
 1/4 cup plain greek style yogurt
 1 tablespoon smucker's\xae simple blends\xae summer fruit fruit spread"
orange-marmalade-french-toast-casserole,"6 slices sourdough or egg bread
 6 eggs
 2 cups heavy cream
 1 cup orange marmalade
 1 tablespoon ground cinnamon
 1/2 teaspoon spice islands\xae ground nutmeg
 1/4 teaspoon spice islands\xae ground cloves
 1/4 teaspoon spice islands\xae ground ginger, topping:
 1/4 cup butter, softened
 1/2 cup brown sugar"
sandwich-french-toast-casserole,"cooking spray
 6 slices whole wheat bread, or more to taste
 1 tablespoon butter, or as needed
 12 slices deli ham, or more to taste
 6 slices swiss cheese, or more to taste
 1/2 cup milk
 4 eggs
 1 teaspoon worcestershire sauce
 1/2 teaspoon mustard powder, salt and ground black pepper to taste"
syrup-on-the-bottom-french-toast-casserole,"1 1/2 cups dark brown sugar
 3/4 cup unsalted butter
 6 tablespoons light corn syrup
 1/2 cup whole milk
 1/8 teaspoon salt
 1 (1 pound) loaf challah bread, cut into 1/2-inch slices
 2 1/2 cups whole milk
 4 large eggs, beaten
 1 1/2 teaspoons vanilla extract
 1/4 teaspoon salt
 3 tablespoons white sugar
 1 1/2 teaspoons ground cinnamon"
sugar-free-french-toast-casserole,"1 serving cooking spray (such as pam\xae)
 5 cups cubed bread
 4 eggs
 1 1/2 cups milk
 1/4 cup granular sucralose sweetener (such as splenda\xae), divided
 2 teaspoons ground cinnamon, divided
 1 teaspoon vanilla extract"
berry-good-french-toast-bake,"6 eggs
 1 1/2 cups milk
 1/2 cup all-purpose flour
 1 tablespoon white sugar
 1 teaspoon ground cinnamon
 1/2 teaspoon vanilla extract
 1/2 teaspoon ground nutmeg
 1/4 teaspoon salt
 10 thick slices french bread, cut into 1-inch cubes
 1 cup fresh blueberries
 1/2 cup chopped pecans (optional)
 1 (3 ounce) package cream cheese, cut into 1/2-inch cubes"
raisin-bread-french-toast-casserole,"5 cups cubed cinnamon raisin bread
 1 1/2 cups milk
 4 eggs
 1/4 cup white sugar
 1 teaspoon vanilla extract
 3 tablespoons softened butter, cut into chunks
 2 teaspoons ground cinnamon"
nutella-french-toast-casserole,"12 slices whole grain bread
 2 ripe pears, peeled and thinly sliced
 1 cup fresh blueberries
 4 eggs
 1 1/2 cups milk
 1/4 cup pure maple syrup
 1 teaspoon vanilla extract
 1 teaspoon ground cinnamon
 6 tablespoons nutella\xae"
french-toast-sausage-fluffins,"1 (9.6 ounce) box pre-cooked maple flavored pork sausage links
 2 3/4 cups all-purpose flour*
 1 (.25 ounce) envelope fleischmann's\xae rapidrise yeast
 2 tablespoons sugar
 1 teaspoon salt
 1 cup very warm milk (120 to 130 degrees f)
 1 tablespoon mazola\xae corn oil
 1 egg
 1 teaspoon spice islands\xae pure vanilla extract, cinnamon sugar topping:
 2 tablespoons sugar
 1/2 teaspoon spice islands\xae ground saigon cinnamon
 2 tablespoons butter or margarine, melted, for dipping (optional):, pancake syrup"
french-toast-cupcakes,"1 1/4 cups all-purpose flour
 2/3 cup milk
 1/2 cup yogurt
 1/2 cup white sugar
 1/2 cup butter, melted
 1/2 cup raisins
 1/3 cup dark brown sugar
 2 tablespoons maple syrup, or more to taste
 1 1/2 teaspoons vanilla extract
 1 teaspoon baking powder
 1 teaspoon ground cinnamon
 1/2 teaspoon baking soda
 1/2 teaspoon salt"
